Event Timestamps for 'With annotations (edited)mp4',,,
,,,
(Timings relate to time counter when running on QuickTime Player),,,
,,,
Timeformat = MM:SS:MS,
00:52:53,Freeze-frame for 'Where is the lumen' quiz 1,Suggest prolong the freee frame to allow user to indicate where they think the lumen is by mouse click. I'll show you where I think the correct area is.,
01:43:30,Freeze-frame for 'Where is the lumen' quiz 2,Ditto,
02:15:30,Freeze-frame for 'Where is the lumen' quiz 3,Ditto,
03:02:15,Freeze-frame for 'Where are we now?' quiz 1,"Suggest MCQ with options: Sigmoid, Descending colon, Splenic flexure, Transverse colon, Hepatic flexure.",Correct answer Descending colon
03:41:11,Freeze-frame for 'Where are we now?' quiz 2,As above,Correct answer Splenic flexure
05:21:30,Freeze-frame for 'Where are we now?' quiz 3,As above,Correct answer Hepatic flexure
05:55:45,Freeze-frame for Insertion Phase Complete,No quiz here. Just a label for information. ,
06:02:50,Position-change prompt 1,"Ask user to select appropriate position change from MCQ with options: Left lateral, Supine, Right Lateral, Prone",Correct answer: Right Lateral
06:16:58,Position-change prompt 2,As above,Correct answer: supine or left lateral both acceptable
06:36:10,Polyp 1 first appears,Polyp detected window opens,
06:39:00,Polyp 1 out of view,User has limited time to indicate polyp seen.
06:47:04,Freeze-frame ,Polyp detected window closes,
06:50:10,Scope advanced to review polyp,,
07:42:40,End of polyp 1 review ,User asked to complete 'Polyp Report - Polyp 1' - I'll show you what this should look like in email,
08:06:20,Polyp 2 first appears,Polyp detected window opens,
08:09:00,Scope advanced to review polyp,Polyp detected window closes,
08:23:40,End of polyp 2 review ,User asked to complete 'Polyp Report - Polyp 2' ,
08:31:27,Polyp 3  first appears,Polyp detected window opens,
08:35:57,Polyp 3 out of view,Polyp detected window closes,
08:38:40,Scope advanced to review polyp,,
08:52:10,End of polyp 3 review ,"User asked to complete ""Polyp Report - Polyp 3'",
09:18:00,Polyp 4 first appears,Polyp detected window opens,
09:23:45,Freeze-frame to allow extra time to see polyp 4,,
09:26:15,Scope advanced to review polyp,Polyp detected window closes,
09:36:40,End of polyp 4 review ,User asked to complete 'Polyp Report - Polyp 4' ,
10:06:00,Position-change prompt 3,"Ask user to select appropriate position change from MCQ with options: Left lateral, Supine, Right Lateral, Prone",Correct answer: Right Lateral
10:46:45,Polyp 5 first appears,Polyp detected window opens,
10:56:50,Freeze-frame ,Polyp detected window closes,
10:59:40,Scope advanced to review polyp,,
11:24:30,End of polyp 5 review ,User asked to complete 'Polyp Report - Polyp 5',
12:20:30,Position-change prompt 4,"Ask user to select appropriate position change from MCQ with options: Left lateral, Supine, Right Lateral, Prone",Correct answer: Left Lateral
12:28:00,Polyp 6 first appears,Polyp detected window opens,
12:31:40,Freeze-frame,Polyp detected window closes,
12:34:25,Scope advanced to review polyp,,
12:42:20,End of polyp 6 review ,User asked to complete 'Polyp Report - Polyp 6',
13:12:10,Polyp 7 first appears,Polyp detected window opens,
13:18:59,Freeze-frame,Polyp detected window closes,
13:21:00,Scope advanced to review polyp,,
13:33:45,End of polyp 7 review,User asked to complete Polyp Report - Polyp 7,
13:34:50,Polyp 8 first appears,Polyp detected window opens,
13:43:00,Freeze-frame,Polyp detected window closes,
13:45:58,Start of polyp review,,
13:55:27,End of polyp 8 review,User asked to complete Polyp Report - Polyp 8,
14:05:00,Polyp 9 first appears (very briefly!),Polyp detected window opens,
14:08:45,Freeze-frame,Polyp detected window closes,
14:09:40,Scope advanced to review polyp,,
14:29:00,End of polyp 9 review,User asked to complete Polyp Report - Polyp 9,
15:54:20,Polyp 10 first appears for first time,Polyp detected window opens,
15:55:40,Polyp 10 disappears for a few seconds,Polyp detected window closes,
16:14:30,Polyp 10 appears again,Polyp detected window re-opens,
16:17:57,Scope advanced to review polyp,Polyp detected window closes,
16:30:00,End of polyp 10 review,User asked to complete polyp report - Polyp 10,
16:54:42,Polyp 8 resection specimen,,I have inclded this because it gives a better impression of the size of the polyp. Maybe need to include it as a still after user has completed Polyp report for polyp 8??
,,,
,,,
11:54,"Text: Patient postion supine. Freeze frame, cut swap transition ()",,
,Double timewindow at the end of video.,,
